"Make ","Model","Varient","Year","Mileage","Cost"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","0","£30,890.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","1000","£24,220.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","2000","£24,080.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","3000","£23,940.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","4000","£23,890.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","5000","£23,660.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","6000","£23,525.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","7000","£23,385.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","8000","£23,245.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","9000","£23,105.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","2022/22","10000","£22,970.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","0","20000","£21,570.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","0","30000","£20,270.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","0","40000","£19,020.00"
"Vauxhall","Corsa-e","Sri Nav Premium 50kWh 5dr Auto [7.4WCh]","0","50000","£17,870.00"
